m_PBH [GeV]	charged_pion_dN_over_dt [GeV]	charged_kaon_dN_over_dt [GeV]	kaon_zero_long_dN_over_dt [GeV]
5.609588603804452e32	489105.5126008581	59105.93631247951	29086.774913348447
6.099798045788406e32	442306.73787501804	53467.712852971126	26311.795859614824
6.632845798026921e32	398690.1598495927	48211.730108163305	23725.176936555476
7.212475404948756e32	358559.19536496664	43374.63741563819	21344.783627377088
7.842757550984395e32	322060.72296048724	38974.46193231208	19179.30370937906
8.528118648601441e32	289050.62442306214	34993.890879347164	17220.15976305694
9.273371924584742e32	259332.04736516144	31409.435724546158	15455.783823623013
1.008375122287719e33	232613.7291020198	28185.93864132649	13868.975338526008
1.0964947761375425e33	208619.52808866516	25290.27823804905	12443.514823508669
1.1923150100819998e33	187088.56208668687	22690.98077432555	11163.959884796783
1.2965087606477704e33	167763.1880421133	20357.111756214566	10015.080577355617
1.4098077707843446e33	150424.82810405985	18262.336912287257	8983.918200399849
1.5330077288262103e33	134867.69470856024	16381.96640929989	8058.325905592047
1.666973856537486e33	120908.54877099762	14693.997554528934	7227.491607391567
1.812646985483319e33	108387.87369209871	13179.327025907727	6482.01994998503
1.9710501644018294e33	97155.27381059257	11819.898807210557	5813.030442047708
2.143295843979562e33	87080.7967514266	10600.138632003445	5212.862609866126
2.3305936894884434e33	78047.1430195477	9505.915322397797	4674.565942444857
2.5342590761516686e33	69943.78278709401	8523.935886909087	4191.570422888558
2.7557223269006686e33	62681.34736499252	7643.437612756626	3758.5527769314617
2.99653875739907e33	56165.470120858095	6853.074339384731	3369.8919320390933
3.258399598878898e33	50324.340817184355	6144.224741966782	3021.3137602780444
3.5431438754990884e33	45084.30584606192	5508.030381884255	2708.4445544753603
3.8527713196398784e33	40385.98354188025	4937.3548169754395	2427.7634105527995
4.189456415835978e33	36172.85426868291	4425.3896340060455	2175.9266023307578
4.555563671977759e33	32395.72726372487	3966.2081599733356	1950.025372463253
4.9536642250286603e33	29008.88243532493	3554.2857444977208	1747.3567646880708
5.386553897879226e33	25973.91949860878	3184.983369983885	1565.652349948137
5.857272834149355e33	23252.531637038177	2853.6568319618546	1402.639241216333
6.369126848832145e33	20815.458934778948	2556.7795029278705	1256.5918211121743
6.925710644722902e33	18630.468155966973	2290.4466325724197	1125.5905474145854
7.530933057680138e33	16673.816685871836	2051.7961250868584	1008.2266846009747
8.189044508013617e33	14920.341903207009	1837.7752711676749	902.9944771285094
8.904666850788016e33	13350.154697521797	1645.985826368672	808.7068501911422
9.682825834678091e33	11944.007137989749	1474.0890615642352	724.2096575380804
1.052898639733079e34	10685.089035444704	1320.0615645825658	648.5039029600671
1.144909104511043e34	9557.821367895245	1182.0185036795397	580.6598600976758
1.2449601586764176e34	8549.007379896839	1058.3813329347088	519.8984077504412
1.3537544514099557e34	7645.583748178184	947.5676897858964	465.4394866523719
1.4720560348378195e34	6837.392993068666	848.3607489925496	416.6825476260784
1.6006957298980876e34	6113.624972233676	759.4425493041534	372.9809708787222
1.7405769611183715e34	5466.078482579255	679.8245784816644	333.85150948839413
1.8926821012816424e34	4886.391574616171	608.4847017020425	298.79387967930114
2.0580793705382587e34	4367.694919165968	544.5928613577101	267.40093571222224
2.2379303384160117e34	3903.632059327058	487.37244308383964	239.29011061600298
2.4334980814141077e34	3488.3707760492175	436.11976378410515	214.11366719400837
2.6461560534710938e34	3116.802736120399	390.20840528979045	191.5628852477334
2.8773977316032084e34	2784.361992779176	349.0860530386017	171.3650737584912
3.1288471044535584e34	2486.8254645632774	312.23429696927195	153.26511019075434
3.4022700774122285e34	2220.667995448023	279.22785344295704	137.0532448266965
3.6995868744044037e34	1982.423795105095	249.64207186470856	122.52077046672802
4.022885523443118e34	1769.230753232681	223.13144618516415	109.49829487279291
4.374436520654378e34	1578.4111724175223	199.3690300295882	97.8253559846341
4.756708775758769e34	1407.5710519713095	178.06551471525498	87.3600551943059
5.1723869509931255e34	1254.6960756682292	158.97385087641362	77.98162180723394
5.62439031524194e34	1117.763320846986	141.84705724293102	69.56953628470299
6.115893245789255e34	995.1538331661405	126.48503410078222	62.02647924507164
6.650347521672959e34	885.2842835371453	112.69401109314535	55.2574984460297
7.231506565205611e34	786.8153770518462	100.30931160208489	49.18143472414228
7.863451801907735e34	698.5236483741477	89.1819322403389	43.724307457553266
8.550621323976895e34	619.3092838513622	79.1774957108204	38.81908885958028
9.297841058593451e34	548.1798289730989	70.17477566355397	34.40554950196034
1.0110358659955055e35	484.2898727506364	62.07021553854939	30.43234313117601
1.0993880363060502e35	426.8357446299091	54.765242237652096	26.8509490898993
1.1954611058063548e35	375.2240741654895	48.18787204030497	23.626054605708045
1.299929786663523e35	328.871441256581	42.267354298168186	20.72318842794644
1.413527752636726e35	287.4215962353501	36.962681217343764	18.122377672773922
1.5370527915992868e35	250.57695893184783	32.24053752491519	15.807324890312069
1.671372408328177e35	218.1927871473261	28.088110774805433	13.771606047534691
1.8174299169088e35	190.0609531030124	24.4828405736054	12.003978579471264
1.976251065541443e35	165.90220791845002	21.39218563884259	10.48828460135506
2.1489512402747976e35	145.25504051122957	18.756898820601872	9.195428115344729
2.3367432982576932e35	127.59482765190117	16.508601715056216	8.091982568577972
2.540946085521231e35	112.37148782814646	14.574260599192653	7.142363419002826
2.7629936991109163e35	99.11841738853069	12.892167480073407	6.3165548061233565
3.004445558615863e35	87.45918572890218	11.41253917255924	5.590309300840014
3.2669973578264836e35	77.12475309310805	10.100496963522865	4.946558664790042
3.5524929734331284e35	67.92125592551848	8.930947241643283	4.372957570232089
3.8629374143993524e35	59.70227623392433	7.885536068675899	3.860400174785527
4.200510902952035e35	52.353956601959254	6.949595272770241	3.4016080042754075
4.567584186077845e35	45.77721613131945	6.110776054854882	2.9904379003905337
4.966735185057237e35	39.91045035607732	5.361090321681271	2.6229264230032814
5.400767099964103e35	34.71142418823448	4.695302950965605	2.296467100975694
5.872728096277298e35	30.158126639738864	4.110201370075979	2.009495485167395
6.3859327118612514e35	26.240487330982255	3.6043267098986793	1.7613533114804596
6.943985134654875e35	22.91054836910134	3.1713651472640327	1.5490080439466811
7.55080451454584e35	20.096126788181046	2.8025775491957665	1.368208468651771
8.21065248719308e35	17.691773961879132	2.4850431989123636	1.2126211777803635
8.928163103094814e35	15.61673314689541	2.2090431316331793	1.0774724112494494
9.708375372091074e35	13.802001912483117	1.966090418146579	0.9585875896483346
1.055676865185777e36	12.20467286504445	1.7509641907714237	0.853390700247271
1.1479301128922338e36	10.791854855557697	1.5595302483546991	0.7598374067244515
1.248245166244958e36	9.540911876416086	1.3890055932791316	0.6765408495672266
1.3573265284662654e36	8.429869880488994	1.2365990025199076	0.6021133311603599
1.4759402677444369e36	7.442723608556195	1.1003300452482607	0.5355693100426252
1.604919397258846e36	6.563948144300723	0.9781878727913063	0.4759222322797128
1.7451697253534782e36	5.781367315739715	0.8686267073773127	0.4224230347373414
1.897676216944076e36	5.083715940711911	0.7701626516515101	0.3743570296477146
2.063509910834475e36	4.46067046414494	0.6814685501571975	0.3310828855955281
2.243835441521781e36	3.9039270131099917	0.6014562306269403	0.2920722419419785
